FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ffa,Maritime,Golfe,Golfe 2,Bè-Centre,Attiegou,Institut Technique Nouvelle Vision,"It Nouvelle Vision, Be-Centre","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2010,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.258400173990558 6.20080959265813)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ff9,Maritime,Golfe,Golfe 2,Bè-Centre,Kegue,Nouvelle Institution de Comptabilité Africaine (Nica),BP 2123,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2000,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2426197317565488 6.201332793347559)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ff8,Maritime,Golfe,Golfe 2,Bè-Centre,Attiègou,Lycée d'Enseignement Technique et Professionnel d'Attiegou,"LETP Attiegou, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2007,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (1.2588440143612523 6.19658276225689)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ff7,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Centre d'Etudes et de Formation Professionnelles (CEFOP) Asa,BP 7838,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1996,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Nsp,POINT (1.1678811957014386 6.191622501696184)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ff6,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Madikpeto,institut Polyvalent Laïc les Dinosaures,"IPL les Dinosaures, Legbassito","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1401896687546131 6.263683607776947)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ff5,Maritime,Golfe,Golfe 1,Bè-Est,Akodessewa,Centre d'Apprentissage Maria - Auxilliadora,BP 304 Bé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1989,Prive - individuel,{Construit et Utilise},CAP,{WCs},Oui,POINT (1.2674356609017046 6.147806849617014)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ff4,Maritime,Golfe,Golfe 1,Bè-Est,Ablogame ( Requins Place N 1),USTI Lomé,BP 3596,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2000,Prive - individuel,{Inacheve},CAP,{WCs},Non,POINT (1.2587313342773665 6.141353337050141)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ff3,Maritime,Golfe,Golfe 1,Bè-Est,Agoe Nyvie,Institut Technique et Commercial Sainte Monique,16 BP344,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2006,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2379116666666663 6.212906743362116)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ff2,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Lycée d'Enseignement Technique et Professionnel de Lome,BP 1337 Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1977,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (1.161554217107063 6.1913455411761)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ff1,Maritime,Golfe,Golfe 2,Bè-Centre,Attiegou,Institut Technique Jesus le Bon Berger,"It Jesus le Bon Berger, Be-Centre","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.2645836293942383 6.197907860578614)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7ff0,Maritime,Golfe,Golfe 1,Bè-Est,Attiegou,Institut Agla etoile du Matin Lycée Technique,"Institut Agla etoile du Matin Lycee Technique, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Oui,POINT (1.273281037371682 6.17877995618378)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fef,Maritime,Golfe,Golfe 1,Bè-Est,Attiegou,Complexe Scolaire Edison Lycée Technique,"Cs Edison Lycee Technique, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2724150568321022 6.178967263345439)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fee,Maritime,Golfe,Golfe 1,Bè-Est,Kegue,Institut Technique Blessing,"It Blessing, Agoe Nyvie","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - individuel,{En construction},BTS,{Latrines a eau},Non,POINT (1.24114417179209 6.220359322419128)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fed,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Segbe Zanvi,Institut Technique la Grande Royale Lycée,"It la Grande Royale Lycee, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2013,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau}",Non,POINT (1.1207333220785816 6.197521780922631)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fec,Maritime,Golfe,Golfe 1,Bè-Est,Kpota,Institut Technique et Commercial Amou Fred Lycée,"Itec Amou-Fred Lycee, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.261605005996565 6.164817180783547)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7feb,Maritime,Golfe,Golfe 4,Amoutivé,Casablanca,Centre d'Etudes Techniques et Commerciales (CETEC),01 BP 2390,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1971,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (1.2000345449261127 6.154880233052323)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fea,Maritime,Golfe,Golfe 2,Bè-Centre,Nukafui,Institut des Sciences Commerciales,BP 1405,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1977,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2411883333333336 6.153980000000001)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fe9,Maritime,Golfe,Golfe 1,Bè-Est,Be-sousanedime,Centre de Formation Academique et Professionnelle,06 BP 62419,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2011,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2458033333333336 6.13949)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fe8,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Institut Supérieur le Technocrate,04 BP94,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1992,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.170868587524907 6.183629411880674)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fe7,Maritime,Golfe,Golfe 3,Bè-Ouest,N/a,Institut Technique et Commercial Saint Sauveur,"Institut Technique Commerciale Saint Sauveur, Amoutive","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",Nsp,N/a,Nsp,Nsp,Nsp,Nsp,POINT (1.2044954373456291 6.159093441247918)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fe6,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame Dabada Condji,Complexe Scolaire Item Adakpame Lycée Technique,"Cs Item Adakpame Lycee Technique, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.280712450307813 6.1778796247680425)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fe5,Maritime,Golfe,Golfe 6,Baguida,Adamavo,Complexe Scolaire Eureka Adamavo Lycée Technique,BP 60582,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2001,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.3097633333333332 6.177028333333334)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fe4,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Adidogome Gblinkomegan,Centre de Formation Professionnelle ONG Amept,BP 80 207,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1999,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Non,POINT (1.1581010771785276 6.183131826645879)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fe3,Maritime,Golfe,Golfe 2,Bè-Centre,Hedzranawoe,Ecole Supérieure du Torousime et d'Hotellerie Stella Matutina,BP 60180,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2394988324141256 6.178306788405852)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fe2,Plateaux,Kpélé,Kpélé 1,Kpélé-Govié,Govie,Centre de Formation Technique et Professionnelle de Kpele Govie,"Cftp Kpele Govie, Govie","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1999,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,Nsp,Non,POINT (0.7358049999999996 7.153153333333336)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fe1,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Gnamassignan,Complexe Scolaire la Croyance Lycée Technique,"Non loin du lycée de Sogbossito, Agoé Nyive","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,autre,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1784483333333333 6.256113333333333)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fe0,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Vogome,Institut Polytechnique du Golfe Zanguera,04 BP94 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1095641523747954 6.231672183166394)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fdf,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Minamadou,ONG United We Stand,"Station Minamadou 2, Agoe Assiyeye, Lomé","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.19207324641745 6.224618511111613)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fde,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Logope,Centre de Formation Hôtelière du Service traiteur Agbemegno,06 BP 195 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2005,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1792035131151182 6.230562923671664)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fdd,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wougome Dekpo,Institut Technique Regard Miséricordieux de Dieu,"It Regard Miséricordieux de Dieu, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.108489126344069 6.2188414674098516)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fdc,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Demakpoe,Centre de Formation Professionnelle et Hotelière La Pigeonnette,"Cfph La Pigeonnette, Agoe Nyive","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2018052725055108 6.236202717875156)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fdb,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wonyome,Institut Africain le Leadership,"It Africain le Leadership, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2006,Prive - individuel,{Construit et Utilise},BTS,{WCs},Non,POINT (1.1552410236954378 6.192488756112211)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fda,Maritime,Golfe,Golfe 5,Aflao-Gakli,Wessome,Institut de Formation en Alternance pour le Développement (IFAD) - Bâtiment,"IFAD Batiment, Aflao-Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Domaine public de l'etat ou des collectivites territoriales,{En construction},Formation Professionnelle autre,"{WCs,autre}",Oui,POINT (1.165328944618766 6.190516738024905)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fd9,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Sanguera,IFAP Annexe,15 BP 370,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2019,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1163137335027176 6.231001599799953)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fd8,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Adidogome,Hotel Ecole Carrington,"Hotel Ecole Carrington, Aflao-Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2007,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1639949999999994 6.181653333333332)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fd7,Maritime,Golfe,Golfe 2,Bè-Centre,Noukafou,Cerfer du Conseil de L Entente,"01 BP 1369 - 1704,Bd de la paix, Lomé","{Lundi,Mardi,jeudi,Mercredi,Vendredi}",1970,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.242954038676502 6.156608659544977)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fd6,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Hôtel École Concordia,"Hôtel École Concordia, Aflao Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1511058741533915 6.197940876227048)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fd5,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Avédji,Ecole de Couture Style Tahiti,"Ecole de Couture Style Tahiti, Aflao Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (1.1825387866008525 6.205681658848832)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fd4,Maritime,Golfe,Golfe 6,Baguida,Yovokomé,Patisserie la Manne Doree,"Patisserie La Manne Doree, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.3305142119139017 6.170967603360164)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fd3,Maritime,Golfe,Golfe 1,Bè-Est,Souza Netime,Hotel Ecole Avenida,"Hotel Ecole Avenida, Be-Est","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1984,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2387439311753747 6.132590518904236)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fd2,Maritime,Golfe,Golfe 6,Baguida,Baguida,Ecole de Couture et de Coupe Yesmaol Design,"Ecole de Coupe, de Couture et de Perfectionnement, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.3335875622216393 6.170212299196357)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fd1,Maritime,Golfe,Golfe 4,Amoutivé,Kodjoviakope,Institut de Formation Bancaire Credo,BP 13604,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2003,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.2058562507167023 6.122456099842378)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fd0,Maritime,Golfe,Golfe 5,Aflao-Gakli,Wonyome,Complexe Scolaire la Renovation,BP 6065,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1597789433008565 6.190809052501053)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fcf,Maritime,Golfe,Golfe 2,Bè-Centre,Aéroport,ESAMOD,BP 60434,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1993,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2399104670574812 6.158453492760486)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fce,Maritime,Golfe,Golfe 4,Amoutivé,Tokoin,Institut de Coupe Chris de Mens,BP 7201,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Prive - individuel,{Construit et Utilise},CAP,Nsp,Non,POINT (1.2032893145536996 6.144153614499789)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fcd,Maritime,Golfe,Golfe 6,Baguida,Baguida,Centre d'Apprentissage Sainte Marguerite (CASM),01 BP 3481 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2000,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (1.3262099999999997 6.177616666666668)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fcc,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cacaveli,Hôtel-Ecole la Savoureuse,BP 31028,"{Lundi,Mardi,Mercredi,Vendredi,jeudi}",2013,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2082238586541718 6.213808929659525)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fcb,Maritime,Golfe,Golfe 5,Aflao-Gakli,Didjole,Ecole Supérieure des Etudes Cinématographiques (ESEC),BP 326 Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2006,autre,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1950401914369846 6.18234853122998)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fca,Maritime,Golfe,Golfe 5,Aflao-Gakli,Soviepe,Centre International de Formation Technique,"Centre International de Formation Technique, Aflao Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",1990,autre,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (1.1807320725520838 6.177118514580362)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fc9,Kara,Assoli,Assoli 1,Bafilo,Bafil Wawande,Institut Polytechnique D'Assoli,"Institut Polytechnique d'Assoli, Bafilo","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,Prive - individuel,{Inacheve},Formation Professionnelle autre,{Latrines seches},Oui,POINT (1.2479349999999996 9.356166666666667)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fc8,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe -logope,Institut de Formation Technologique le Conquerant,BP 89 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,autre,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Non,POINT (1.1710650000000007 6.234303333333335)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fc7,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Nyive Demakpoe,Institut Superieur de Technologie et de Management,13 BP 396,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2011,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (1.197931475373286 6.2364927772519225)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fc6,Kara,Bassar,Bassar 1,Bassar,Nangbani,Centre de Formation Technique et Professionnelle de Bassar,BP 25 Bassar,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2011,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (0.801777784093465 9.262937919801919)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fc5,Kara,Assoli,Assoli 1,Bafilo,Bafilo,Centre de Formation Technique et Professionnelle de Bafilo,BP 22 Bafil,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2011,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (1.235358039066281 9.365974018963687)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fc4,Kara,Dankpen,Dankpen 1,Guérin-Kouka,Guérin Kouka Centre,Collège d'Enseignement Technique Adam Smith CET,"Cet Adam Smith Cet, Guérin Kouka","{Lundi,Mardi,Mercredi,Vendredi,jeudi,Samedi,Dimanche}",2017,Prive - individuel,{Construit et Utilise},CAP,Nsp,Non,POINT (0.6103015337574107 9.703851798447381)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fc3,Kara,Dankpen,Dankpen 1,Guérin-Kouka,Latin,Collège d'Enseignement Technique Adam Smith LT,"Cet Adams Smith Lycee, Guerin Kouka","{Lundi,Mardi,jeudi,Mercredi,Samedi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},CAP,Nsp,Oui,POINT (0.6100293493026355 9.703866166793334)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fc2,Kara,Kozah,Kozah 1,Commune De Kara,Lama Poude,Institut National de Formation et de Perfectionnement Professionnel (INFPP) - Antenne de Kara,400 BP 567,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1978,Domaine prive de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,{WCs},Non,POINT (1.1703116666666666 9.581883333333334)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fc1,Kara,Bassar,Bassar 4,Sanda-Kagbanda,Agbadibiyo,Centre de Formation Technique et Professionnelle de Sanda Kagbanda,"Cftp de Sanda Kagbanda, Sanda Kagbanda","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2015,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,Nsp,Oui,POINT (0.9138924506908376 9.490323838768997)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fc0,Kara,Bassar,Bassar 1,Bassar,Wadande,Centre d'Information et d'Orientation Professionnelle de Bassar,"Lycee Technique Cifop Bassar, Bassar","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2015,Prive - individuel,{En construction},Formation Professionnelle autre,"{Latrines a eau,Douches}",Non,POINT (0.7761902529409044 9.260639585725157)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fbf,Kara,Kéran,Kéran 1,Kantè,Kante Saar,College d'Enseignement Technique de Kande,Kante,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1976,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,"{WCs,Douches}",Non,POINT (1.0428103810843552 9.947731508226642)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fbe,Kara,Kozah,Kozah 1,Commune De Kara,Leota,IPVS Kara,"IPVS-Kara, Lama","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{En construction},Formation Professionnelle autre,"{Latrines seches,Douches}",Non,POINT (1.1967693964021735 9.560944202188374)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fbd,Kara,Kozah,Kozah 2,Pya,Towouda,College d'Enseignement Technique de Pya,BP 08,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1975,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,"{Latrines a eau,WCs}",Oui,POINT (1.1584118257585931 9.669970839217955)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fbc,Kara,Doufelgou,Doufelgou 1,Koka,Cantambolo,Institut Polytechnique Pere Brungard,BP 87,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1988,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Oui,POINT (1.1243935838618964 9.78730638648647)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fbb,Kara,Kozah,Kozah 1,Commune De Kara,Chaminade,CFPMA,BP 788,"{Lundi,Mardi,Mercredi,Vendredi,jeudi}",2020,Prive - individuel,{En construction},Formation Professionnelle autre,{Latrines seches},Non,POINT (1.1883954412292639 9.554093725794685)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fba,Kara,Kozah,Kozah 1,Commune De Kara,Poude,Centre Regional d'Enseignement Technique et de Fomation Professionnelle de Kara,BP 437,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1994,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.172460264011498 9.580311024258672)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fb9,Kara,Kozah,Kozah 2,Bohou,Feilga,CFTO Yade,BP 185 Yade,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1549934683059053 9.613260829408155)
