FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fa1,Maritime,Golfe,Golfe 1,Bè-Est,Be Pa-desouza,Institut de Coupe de Couture Style et Perfectionne Style Cesar,BP 60558,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (1.246570219014485 6.142533033407403)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fa2,Plateaux,Kloto,Kloto 1,Tové,Tove,Institut de Formation Agricole de Tove,BP 401 Kpalimé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1980,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Licence,Nsp,Oui,POINT (0.6455883333333338 6.882958333333332)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fa3,Maritime,Golfe,Golfe 1,Bè-Est,Kpota,Institut de Formation des Génis Industriels (IFGI),"Lycee Technique Ifgi, Bè","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,Nsp,{Construit et Utilise},BTS,{WCs},Non,POINT (1.2665160073923913 6.166526023740907)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fa4,Maritime,Golfe,Golfe 4,Amoutivé,Quartier administratif,Institut National de Formation et de Perfectionnement Professionnel (INFPP),Lome 01BP1005,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1964,Domaine prive de l'Etat ou des collectivites territoriales,{Construit et Utilise},Formation profesionnelle autre,"{WCs,Pissotieres}",Non,POINT (1.2176797136031485 6.132705404234757)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fa5,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Nanegbe,"Complexe Scolaire ""Immaculee""","Cspl Immaculee Lycee Technique, Vakpossito","{Mardi,Lundi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{Inacheve},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1515310189393009 6.227809402699144)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fa6,Kara,Kozah,Kozah 1,Commune De Kara,Chaminade,Institut des Nouvelles Technologies Appliquées de Kara (INTA),"Inta Kara, Lama","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2000,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1924120969721572 9.554606815859437)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fa7,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Kouloumde,Institut des Sciences Techniques du Tertiaire,"Istt-Sokode, Sokode","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1997,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1487944670604306 8.981980059971402)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fa8,Kara,Kozah,Kozah 1,Commune De Kara,Chaminade,Institut Dioliss,"Institut Dioliss, Lama","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1915593401906541 9.559828692156849)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fa9,Savanes,Oti,Oti 2,Galangashie,Barkaossi,Institut de Formation en Alternance pour le Développement (IFAD) - Élevage,BP:550 barkoassi-oti,"{Lundi,Mardi,Mercredi,Vendredi,jeudi}",2021,Domaine public de l'Etat ou des collectivites territoriales,{Construit et Utilise},Formation profesionnelle autre,N/a,Oui,POINT (0.3158769835961852 10.529973098922216)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7faa,Maritime,Golfe,Golfe 3,Bè-Ouest,Doumassesde,Institut Technique des etudes Professionnelles,"Institu Technique des etudes Professionnelles, Be Ouest","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2006,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau}",Non,POINT (1.2182067076723546 6.159363152551313)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fab,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zopomahe,Institut Technique et Professionnel Betsaleel Lycée,BP 13086,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1364024095738319 6.236199444945271)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fac,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Demakpoe,Institut Technique et Professionnel Carrefour des Leaders,"Quartier Agoe-démakpoe, 16BP652 Lomé-Togo","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",2014,Prive - individuel,{Construit et Utilise},Formation profesionnelle autre,{Latrines a eau},Non,POINT (1.1992859850825506 6.245716381617446)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fad,Maritime,Golfe,Golfe 4,Amoutivé,Tokoin Hôpital,Institut Technique et Professionnel Georges Clemenceau,"Institut Technique et Professionnel Georges Clemenceau, Amoutive","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,POINT (1.2101276515154797 6.144020802017781)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fae,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime Kpeta,Institut Technique et Professionnel le Bon Berger,"Itp Le Bon Berger, Kpalime","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",1995,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{Pissotieres,Latrines seches}",Oui,POINT (0.6412507855234586 6.891951064537765)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7faf,Maritime,Golfe,Golfe 6,Baguida,Agodeke,Institut Technique la Craie,12 BP26 - Baguida,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.3588209049135325 6.182219958891685)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fb0,Maritime,Golfe,Golfe 6,Baguida,Baguida,Institut Technique les Elites Lycée Technique,"Lycee Technique Les Elites, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Prive - individuel,{Ferme},Formation Professionnelle autre,Nsp,Non,POINT (1.3298119157329717 6.178667497759153)
